Country,Mobile_Subscriptions,Internet_Users
Afghanistan,0.0015040094393697892,0.08695652173913049
Albania,0.4342997809342858,0.9782608695652175
Algeria,0.2320628368842692,0.7305483610733696
Andorra,1.0,0.7959822930230036
Angola,0.0071784205560355375,0.600000022114187
Antigua and Barbuda,0.20641622433756152,0.9855072463768115
Argentina,0.49008295108354577,0.9565217391304348
Armenia,0.3584133311785514,1.0
Australia,0.703785394088048,0.7959822930230036
Austria,0.5729952081048829,0.7959822930230036
Azerbaijan,0.40357757832444935,1.0
Bahamas,0.46028270447527536,0.7959822930230036
Bahrain,0.32942873537250505,0.9710144927536233
Bangladesh,0.14519737942267436,0.6521739130434783
Barbados,0.7244607889491628,0.9927536231884058
Belarus,0.6782450867406823,1.0
Belgium,0.8446494473252217,0.7959822930230036
Belize,0.18848079766894144,0.8683483842490376
Benin,0.003258058758265341,0.23333331121914636
Bhutan,0.0254465051857238,0.5956521517988564
Bolivia,0.212518142779792,0.9130434782608696
Bosnia and Herzegovina,0.5509339800087096,0.9753623630689536
Botswana,0.06590703718400939,0.8090316109035334
Brazil,0.4427945327726142,0.923043513643568
Brunei Darussalam,0.3906180081137571,0.9650724106940667
Bulgaria,0.697323970789861,0.9771014227383377
Burkina Faso,0.001249248062735796,0.05057973447053332
Burundi,0.00034927984203730823,0.6455072596453233
Cabo Verde,0.13970082077015136,0.8695652173913044
Cambodia,0.057241617180191856,0.7649275185405349
Cameroon,0.04214550574490615,0.6844928022743999
Canada,0.8344557451192276,0.7959822930230036
Central African Republic,0.0002669512972014491,0.09405799534009851
Chile,0.44441617026803115,0.9588406327841943
China,0.864485997522438,0.9565217391304348
Colombia,0.329250915766333,0.9420289855072463
Comoros,0.007454272884218982,0.4450724504996043
Costa Rica,0.43528745287726317,0.9715942161670623
Croatia,0.5502478282675023,0.9920289412788725
Cuba,0.057383679582948884,0.9952624777089001
Cyprus,0.7485804722689582,0.9907246465268349
Czech Republic,0.7329768018273597,0.7959822930230036
Democratic Republic of the Congo,0.0005789647885574276,0.7179710277612652
Denmark,0.8597235245919166,0.7959822930230036
Djibouti,0.028408361321572383,0.7959822930230036
Dominica,0.4031446262398565,0.7959822930230036
Dominican Republic,0.21516804147611698,0.9347826086956521
Ecuador,0.3105199396422736,0.9130434782608696
Egypt,0.2293104986322147,0.6304347826086956
El Salvador,0.20640462740672422,0.855072463768116
Eritrea,0.003152816610916767,0.6604422970094537
Estonia,0.7295653713393847,0.9981159818345218
Eswatini,0.053036570058583796,0.8658987957498303
Ethiopia,0.00868424336882392,0.30103158259737395
Fiji,0.04892932372037038,0.7959822930230036
Finland,0.6828567995703186,0.7959822930230036
France,0.93967856424974,0.7959822930230036
Gabon,0.06382538809871252,0.7926087310348724
Gambia,0.004127461334920297,0.40101446621659853
Georgia,0.5595620965516672,1.0
Germany,0.8770802644117549,0.7959822930230036
Ghana,0.012729948660727358,0.7156521341075073
Greece,0.8447828120298508,0.9130434782608696
Grenada,0.5753068629851197,0.9768116163170857
Guatemala,0.09815945481782865,0.7540749812471697
Guinea,7.735481448191818e-05,0.20768118595731455
Guinea-Bissau,0.0059564712819264055,0.3318840800852014
Guyana,0.24997816220610464,0.8555072286854624
Haiti,0.005885787988473009,0.5363747417062957
Honduras,0.08638509093870934,0.8405797101449275
Hungary,0.7110450727922031,0.9869564996249434
Iceland,0.7233068943308506,0.7959822930230036
India,0.04542221855298767,0.6666666666666667
Indonesia,0.09305313288798109,0.9420289855072463
Iran,0.2322928426792092,0.8399999867314885
Iraq,0.33300638853581477,0.7971014492753623
Ireland,0.6153645949189894,0.7959822930230036
Israel,0.5772474160785627,0.8840579710144927
Italy,0.6531184032598472,0.9855072463768115
Jamaica,0.30505585239609506,0.7101449275362319
Japan,0.7449873565311989,0.7959822930230036
Jordan,0.13597820597137533,0.9275362318840581
Kazakhstan,0.340799526058486,0.9971014935037363
Kenya,0.04612789179443789,0.7518840181654782
Kiribati,0.006373033037602526,0.970430567644645
Kuwait,0.0195483061618687,0.9420289855072463
Kyrgyzstan,0.12455600222534899,0.9942028764365376
Laos,0.0468733811650962,0.8191303861313972
Latvia,0.5023447726221933,0.9984057882557738
Lebanon,0.14089105243842046,0.8985507246376812
Lesotho,0.007373036383703638,0.7392753932787028
Liberia,0.005265004280751886,0.2507443635360058
Libya,0.08728887841529692,0.6594202898550725
Lithuania,0.5456109887543851,0.9975362584210827
Luxembourg,0.7407486783101626,0.7959822930230036
Madagascar,0.002038757450030727,0.6736232370570086
Malawi,0.0014937519540441898,0.5373913308848508
Malaysia,0.25177761930769366,0.9420289855072463
Maldives,0.3619310668658683,0.9689855160920522
Mali,0.014920357629060126,0.0
Malta,0.8558134260779374,0.9266667020493651
Mauritania,0.005468743027345335,0.5211594070213434
Mauritius,0.5200436219017324,0.8862319061721582
Mexico,0.3968069035372674,0.9275362318840581
Moldova,0.5299531993022124,0.9942028764365376
Mongolia,0.28123768927806964,0.9855072463768115
Montenegro,0.6187586300107084,0.9852174399555593
Morocco,0.12503862783036163,0.6717391083205955
Mozambique,0.0037788962503869272,0.42028985507246375
Myanmar,0.05404221724435906,0.8405797101449275
Namibia,0.06798230795734574,0.8876811594202898
Nepal,0.09335330011448675,0.5818840800852016
Netherlands,0.8361798221703742,0.7959822930230036
New Zealand,0.7211943200966543,0.7959822930230036
Nicaragua,0.1049142804661996,0.7480369236158291
Niger,0.0010028074839775723,0.10289852861045079
Nigeria,0.0009472891104157639,0.4660223255986754
North Macedonia,0.5412157519670452,0.9652173691901609
Norway,0.8825694783414143,0.7959822930230036
Oman,0.21023354740484224,0.9565217391304348
Pakistan,0.02616938054124936,0.3913043478260869
Palau,0.14169858538905838,0.9565217391304348
Panama,0.3504559038023516,0.9420289855072463
Papua New Guinea,0.004104654037606924,0.5661403269007581
Paraguay,0.2477844094560471,0.9275362318840581
Peru,0.20139282046320073,0.9130434782608696
Philippines,0.12634927429715812,0.9710144927536233
Poland,0.5046931511167483,0.9971014935037363
Portugal,0.8525546885126538,0.9533333156419841
Qatar,0.22495778392461155,0.9710144927536233
Republic of the Congo,0.024463858579442527,0.7189855160920522
Romania,0.6699049606468513,0.9855072463768115
Russia,0.47609898531555794,1.0
Rwanda,0.00856786816787153,0.6956521739130435
Saint Kitts and Nevis,0.9034478194921821,0.7959822930230036
Saint Lucia,0.26227670735907027,0.7959822930230036
Saint Vincent and the Grenadines,0.5893430149418755,0.955072485882303
Samoa,0.016917329791026586,0.9869564996249434
Sao Tome and Principe,0.04830366930169758,0.9094202898550725
Saudi Arabia,0.8421483759079755,0.9710144927536233
Senegal,0.03810861412043907,0.38652171259341017
Serbia,0.6052192132581508,0.9855072463768115
Seychelles,0.5947220580285802,0.9449274920035102
Sierra Leone,0.0,0.2556521650673682
Singapore,0.525438127562887,0.9710144927536233
Slovakia,0.6411233111304578,0.7959822930230036
Slovenia,0.6230224349152255,0.9942028764365376
Solomon Islands,0.0020248218048078944,0.6666666666666667
South Africa,0.06578140376660521,0.855072463768116
Spain,0.7360441900338277,0.9855072463768115
Sri Lanka,0.1693765936541013,0.8840579710144927
Sudan,0.0011242505437058666,0.4303939377052203
Suriname,0.38702295955419147,0.9275362318840581
Sweden,0.7872716991858318,0.7959822930230036
Switzerland,0.942975958251148,0.7959822930230036
Syria,0.1325718008200966,0.9130434782608696
Tajikistan,0.001140561626928541,0.9956521296846697
Tanzania,0.04825728157834835,0.7394202412038611
Thailand,0.30952067076845885,0.8710125909335378
Timor-Leste,6.776531237254779e-05,0.5637681380562161
Togo,0.02369420893620648,0.5217391304347826
Tonga,0.15794240641287638,0.9913043699402739
Trinidad and Tobago,0.5197730268488618,0.9695652395054914
Tunisia,0.273326649625219,0.7857235894686927
Turkmenistan,0.10079350437534264,0.9913043699402739
Uganda,0.0017206729653814175,0.7186955990998638
Ukraine,0.380238755014366,1.0
United Arab Emirates,0.7169711044500678,0.9710144927536233
United Kingdom,0.7931996636655027,0.7959822930230036
United States of America,0.7354102244813883,0.7959822930230036
Uruguay,0.6262328519353537,0.9855072463768115
Uzbekistan,0.5850192925613655,1.0
Vanuatu,0.021726403055295856,0.8420289633930593
Venezuela,0.18512735183515308,0.9652173691901609
Viet Nam,0.4383335800438629,0.9420289855072463
Yemen,0.024526868570325232,0.3347825865814652
Zambia,0.009184728247326029,0.818840579710145
Zimbabwe,0.03179640466569206,0.8528985286104507
